scientific_name,longitude,latitude
Pinus densata,100.85195,27.2822
Pinus densata,100.85195,27.2822
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus densata,98.66582,27.740736
Pinus densata,98.911543,28.48611
Pinus densata,98.66582,27.740736
Pinus densata,98.66582,27.740736
Pinus densata,99.706013,27.82308
Pinus densata,99.706013,27.82308
Pinus gerardiana,72.58,35.53
Pinus gerardiana,74.77,35.48
Pinus gerardiana,77.43,31.98
Pinus gerardiana,75.77,33.32
Pinus gerardiana,74.591,35.4
Pinus gerardiana,74.591,35.4
Pinus gerardiana,79.8,31.47
Pinus gerardiana,78.341141,31.447433
Pinus gerardiana,78.547655,31.713696
Pinus gerardiana,74.589996,35.400002
Pinus gerardiana,71.65,35.75
Pinus gerardiana,74.03,35.3
Pinus gerardiana,74.68,35.53
Pinus gerardiana,74.73,35.48
Pinus gerardiana,74.85,35.37
Pinus gerardiana,74.83,35.32
Pinus gerardiana,74.85,35.37
Pinus gerardiana,74.52,35.53
Pinus gerardiana,74.52,35.53
Pinus gerardiana,74.28,36.25
Pinus gerardiana,74.52,35.53
Pinus gerardiana,73.83,35.4
Pinus gerardiana,69.5,35.25
Pinus gerardiana,71,35.25
Pinus gerardiana,69.6,35.12
Pinus gerardiana,71.35,35.82
Pinus gerardiana,71.34,35.72
Pinus gerardiana,71.1,35
Pinus gerardiana,71.1,35
Pinus gerardiana,71.1,35
Pinus gerardiana,70.55,35.37
Pinus l.,98.90027,28.47083
Pinus l.,102.83333,31.68333
Pinus l.,98.6111,28.0194
Pinus l.,98.3258,28.0881
Pinus l.,98.3336,28.0678
Pinus l.,98.4744,27.7817
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
Pinus l.,100.20208,27.02611
